iter	Passed	Remaining
0	174	174110
1	176	87911
2	177	59036
3	179	44661
4	181	36092
5	183	30391
6	185	26351
7	187	23297
8	189	20907
9	191	19006
10	193	17439
11	195	16111
12	197	15008
13	200	14086
14	201	13261
15	204	12547
16	206	11923
17	208	11366
18	210	10880
19	212	10427
20	215	10042
21	217	9677
22	219	9341
23	222	9036
24	224	8758
25	226	8489
26	228	8240
27	230	7992
28	232	7773
29	233	7564
30	235	7370
31	237	7197
32	240	7043
33	242	6879
34	243	6724
35	245	6579
36	247	6442
37	249	6308
38	251	6185
39	252	6064
40	254	5948
41	256	5843
42	257	5735
43	259	5638
44	261	5542
45	262	5452
46	264	5373
47	266	5291
48	267	5201
49	269	5122
50	271	5051
51	272	4976
52	274	4905
53	276	4837
54	277	4770
55	278	4702
56	281	4652
57	282	4594
58	284	4541
59	286	4489
60	288	4437
61	290	4389
62	291	4342
63	293	4295
64	295	4250
65	296	4202
66	299	4164
67	299	4111
68	301	4069
69	303	4032
70	305	3994
71	306	3949
72	308	3915
73	310	3884
74	311	3842
75	313	3810
76	314	3769
77	316	3738
78	318	3709
79	319	3676
80	320	3638
81	321	3600
82	322	3563
83	323	3525
84	324	3488
85	325	3454
86	325	3417
87	327	3391
88	328	3363
89	330	3338
90	331	3311
91	332	3280
92	333	3251
93	334	3228
94	336	3201
95	337	3176
96	338	3154
97	340	3134
98	342	3115
99	343	3090
100	344	3068
101	345	3042
102	346	3021
103	348	2999
104	349	2980
105	351	2965
106	353	2948
107	354	2929
108	356	2912
109	358	2903
110	361	2894
111	363	2883
112	364	2864
113	365	2842
114	366	2821
115	368	2804
116	369	2790
117	371	2775
118	372	2757
119	373	2742
120	375	2729
121	377	2715
122	378	2695
123	380	2685
124	381	2667
125	382	2654
126	384	2642
127	385	2625
128	387	2615
129	388	2603
130	389	2586
131	390	2569
132	391	2553
133	393	2541
134	395	2531
135	396	2519
136	398	2510
137	399	2495
138	401	2487
139	403	2477
140	405	2468
141	406	2459
142	408	2450
143	410	2441
144	412	2431
145	414	2422
146	415	2409
147	416	2398
148	418	2387
149	419	2376
150	420	2364
151	421	2352
152	422	2341
153	424	2329
154	424	2316
155	426	2305
156	427	2293
157	428	2281
158	429	2271
159	430	2261
160	431	2250
161	432	2238
162	433	2226
163	434	2214
164	435	2203
165	436	2191
166	436	2179
167	437	2167
168	438	2155
169	439	2143
170	439	2131
171	440	2120
172	441	2108
173	441	2097
174	442	2086
175	443	2075
176	444	2064
177	444	2053
178	445	2042
179	446	2031
180	446	2019
181	447	2009
182	447	1998
183	448	1988
184	448	1977
185	449	1967
186	450	1957
187	451	1948
188	451	1938
189	452	1928
190	453	1918
191	453	1909
192	454	1899
193	454	1890
194	455	1880
195	456	1871
196	456	1862
197	457	1852
198	458	1844
199	458	1835
200	459	1826
201	460	1818
202	460	1809
203	461	1801
204	462	1793
205	462	1784
206	463	1776
207	464	1767
208	465	1760
209	465	1752
210	466	1744
211	467	1737
212	468	1729
213	468	1722
214	469	1714
215	470	1707
216	471	1700
217	472	1693
218	472	1686
219	473	1679
220	474	1673
221	475	1666
222	476	1659
223	477	1652
224	477	1646
225	478	1640
226	479	1633
227	480	1627
228	481	1620
229	482	1614
230	482	1607
231	483	1601
232	484	1595
233	485	1588
234	486	1582
235	486	1575
236	487	1569
237	488	1563
238	489	1557
239	489	1550
240	490	1544
241	491	1538
242	491	1532
243	492	1526
244	493	1521
245	494	1515
246	495	1509
247	496	1504
248	497	1499
249	497	1493
250	498	1488
251	499	1482
252	500	1477
253	500	1471
254	501	1465
255	502	1459
256	503	1454
257	503	1449
258	504	1443
259	505	1438
260	506	1433
261	506	1427
262	507	1422
263	508	1417
264	509	1412
265	510	1407
266	511	1403
267	511	1398
268	512	1393
269	513	1388
270	514	1383
271	515	1378
272	515	1373
273	516	1369
274	517	1364
275	518	1359
276	518	1354
277	519	1349
278	520	1345
279	521	1340
280	522	1335
281	522	1330
282	523	1326
283	524	1321
284	524	1316
285	525	1312
286	526	1307
287	526	1302
288	527	1298
289	528	1293
290	529	1289
291	530	1285
292	530	1280
293	531	1276
294	532	1271
295	533	1267
296	533	1263
297	534	1259
298	535	1255
299	536	1251
300	537	1247
301	537	1243
302	538	1239
303	539	1235
304	540	1232
305	541	1228
306	542	1224
307	543	1220
308	544	1217
309	545	1213
310	546	1210
311	547	1206
312	547	1202
313	548	1198
314	549	1195
315	550	1191
316	551	1187
317	551	1183
318	552	1179
319	553	1176
320	554	1172
321	554	1168
322	555	1164
323	556	1160
324	556	1156
325	557	1153
326	558	1149
327	558	1145
328	559	1141
329	560	1137
330	561	1133
331	561	1130
332	562	1126
333	563	1122
334	563	1119
335	564	1115
336	565	1112
337	565	1108
338	566	1104
339	567	1101
340	568	1097
341	568	1094
342	569	1091
343	570	1088
344	571	1084
345	572	1081
346	572	1077
347	573	1074
348	574	1070
349	574	1067
350	575	1063
351	575	1060
352	576	1056
353	577	1053
354	578	1050
355	578	1047
356	579	1043
357	580	1040
358	581	1037
359	581	1034
360	582	1030
361	583	1027
362	583	1024
363	584	1021
364	585	1017
365	585	1014
366	586	1011
367	587	1008
368	587	1005
369	588	1002
370	589	999
371	590	996
372	590	993
373	591	990
374	592	987
375	592	984
376	593	980
377	594	977
378	594	974
379	595	971
380	596	968
381	596	965
382	597	962
383	598	959
384	599	956
385	599	954
386	600	951
387	601	948
388	601	945
389	602	942
390	603	939
391	603	936
392	604	933
393	605	930
394	606	928
395	606	925
396	607	922
397	608	919
398	608	916
399	609	914
400	610	911
401	610	908
402	611	905
403	612	903
404	612	900
405	613	897
406	614	895
407	615	892
408	615	889
409	616	887
410	617	884
411	617	881
412	618	879
413	619	876
414	619	873
415	620	870
416	621	868
417	621	865
418	622	863
419	623	860
420	623	857
421	624	855
422	625	852
423	625	850
424	626	847
425	627	845
426	628	842
427	628	840
428	629	837
429	629	835
430	630	832
431	631	829
432	631	827
433	632	824
434	633	822
435	633	820
436	634	817
437	635	815
438	635	812
439	636	810
440	637	807
441	637	805
442	638	802
443	639	800
444	639	798
445	640	795
446	641	793
447	641	790
448	642	788
449	643	786
450	644	784
451	644	781
452	645	779
453	646	777
454	646	774
455	647	772
456	648	770
457	649	768
458	649	765
459	650	763
460	651	761
461	652	759
462	652	757
463	653	755
464	654	753
465	655	750
466	656	748
467	656	746
468	657	744
469	658	742
470	658	740
471	659	738
472	660	735
473	661	733
474	661	731
475	662	729
476	663	727
477	663	724
478	664	722
479	665	720
480	665	718
481	666	716
482	667	714
483	668	712
484	668	710
485	669	708
486	670	706
487	670	703
488	671	701
489	672	699
490	673	697
491	673	695
492	674	693
493	675	691
494	675	689
495	676	687
496	677	685
497	677	683
498	678	681
499	679	679
500	680	677
501	680	675
502	681	673
503	682	671
504	683	670
505	684	668
506	685	666
507	686	664
508	686	662
509	687	660
510	688	658
511	689	657
512	690	655
513	690	653
514	691	651
515	692	649
516	693	647
517	694	645
518	694	643
519	695	642
520	696	640
521	697	638
522	698	636
523	698	634
524	699	633
525	700	631
526	701	629
527	701	627
528	702	625
529	703	623
530	704	622
531	704	620
532	705	618
533	706	616
534	707	614
535	708	612
536	708	611
537	709	609
538	710	607
539	711	605
540	712	604
541	712	602
542	713	600
543	714	598
544	715	597
545	715	595
546	716	593
547	717	591
548	718	590
549	719	588
550	720	586
551	721	585
552	721	583
553	722	581
554	723	580
555	724	578
556	725	576
557	726	575
558	727	573
559	728	572
560	729	570
561	730	569
562	730	567
563	731	565
564	732	564
565	733	562
566	734	561
567	735	559
568	736	557
569	737	556
570	738	554
571	739	553
572	740	551
573	741	550
574	743	549
575	744	547
576	745	546
577	746	544
578	746	543
579	747	541
580	748	539
581	749	538
582	750	536
583	751	535
584	752	533
585	752	531
586	753	530
587	754	528
588	755	527
589	756	525
590	756	523
591	757	522
592	758	520
593	759	518
594	759	517
595	760	515
596	761	513
597	761	512
598	762	510
599	763	508
600	763	507
601	764	505
602	765	503
603	765	502
604	766	500
605	767	498
606	767	497
607	768	495
608	769	493
609	770	492
610	771	490
611	771	489
612	772	487
613	773	486
614	773	484
615	774	482
616	775	481
617	775	479
618	776	478
619	777	476
620	778	474
621	778	473
622	779	471
623	780	470
624	780	468
625	781	467
626	782	465
627	783	463
628	783	462
629	784	460
630	785	459
631	786	457
632	786	456
633	787	454
634	788	453
635	788	451
636	789	449
637	790	448
638	791	446
639	791	445
640	792	443
641	793	442
642	793	440
643	794	439
644	794	437
645	795	436
646	796	434
647	796	432
648	797	431
649	798	429
650	798	428
651	799	426
652	800	425
653	801	423
654	801	422
655	802	420
656	803	419
657	803	417
658	804	416
659	805	414
660	806	413
661	806	411
662	807	410
663	808	409
664	809	407
665	810	406
666	810	404
667	811	403
668	812	402
669	813	400
670	814	399
671	815	397
672	816	396
673	816	395
674	817	393
675	818	392
676	819	390
677	820	389
678	821	388
679	822	386
680	823	385
681	823	384
682	824	382
683	825	381
684	826	379
685	827	378
686	827	377
687	828	375
688	829	374
689	829	372
